,Name,M,t,r,s,WA,beta,pPhi_000C_575NM,dMag_000C_575NM,pPhi_000C_660NM,dMag_000C_660NM,pPhi_000C_730NM,dMag_000C_730NM,pPhi_000C_760NM,dMag_000C_760NM,pPhi_000C_825NM,dMag_000C_825NM,pPhi_001C_575NM,dMag_001C_575NM,pPhi_001C_660NM,dMag_001C_660NM,pPhi_001C_730NM,dMag_001C_730NM,pPhi_001C_760NM,dMag_001C_760NM,pPhi_001C_825NM,dMag_001C_825NM,pPhi_003C_575NM,dMag_003C_575NM,pPhi_003C_660NM,dMag_003C_660NM,pPhi_003C_730NM,dMag_003C_730NM,pPhi_003C_760NM,dMag_003C_760NM,pPhi_003C_825NM,dMag_003C_825NM,pPhi_010C_575NM,dMag_010C_575NM,pPhi_010C_660NM,dMag_010C_660NM,pPhi_010C_730NM,dMag_010C_730NM,pPhi_010C_760NM,dMag_010C_760NM,pPhi_010C_825NM,dMag_010C_825NM,pPhi_030C_575NM,dMag_030C_575NM,pPhi_030C_660NM,dMag_030C_660NM,pPhi_030C_730NM,dMag_030C_730NM,pPhi_030C_760NM,dMag_030C_760NM,pPhi_030C_825NM,dMag_030C_825NM,pPhi_100C_575NM,dMag_100C_575NM,pPhi_100C_660NM,dMag_100C_660NM,pPhi_100C_730NM,dMag_100C_730NM,pPhi_100C_760NM,dMag_100C_760NM,pPhi_100C_825NM,dMag_100C_825NM,pPhi_300C_575NM,dMag_300C_575NM,pPhi_300C_660NM,dMag_300C_660NM,pPhi_300C_730NM,dMag_300C_730NM,pPhi_300C_760NM,dMag_300C_760NM,pPhi_300C_825NM,dMag_300C_825NM,pPhi_600C_575NM,dMag_600C_575NM,pPhi_600C_660NM,dMag_600C_660NM,pPhi_600C_730NM,dMag_600C_730NM,pPhi_600C_760NM,dMag_600C_760NM,pPhi_600C_825NM,dMag_600C_825NM,dMag_min_575NM,dMag_max_575NM,dMag_med_575NM,pPhi_min_575NM,pPhi_max_575NM,pPhi_med_575NM,dMag_min_660NM,dMag_max_660NM,dMag_med_660NM,pPhi_min_660NM,pPhi_max_660NM,pPhi_med_660NM,dMag_min_730NM,dMag_max_730NM,dMag_med_730NM,pPhi_min_730NM,pPhi_max_730NM,pPhi_med_730NM,dMag_min_760NM,dMag_max_760NM,dMag_med_760NM,pPhi_min_760NM,pPhi_max_760NM,pPhi_med_760NM,dMag_min_825NM,dMag_max_825NM,dMag_med_825NM,pPhi_min_825NM,pPhi_max_825NM,pPhi_med_825NM
0,HD 219134 h,5.878384979667131,0.0,2.1958232959538155,1.0370027738411385,158.775058119008,151.81880506827088,0.009814211135105194,23.04716401951499,0.008266683638960978,23.233474217151393,0.00625464346146053,23.536296115808952,0.004925335849436008,23.795712887611966,0.003106804065813012,24.296017849451957,0.01911515344399101,22.32335804003554,0.01841798918707801,22.363696977375184,0.0178242917207375,22.399271807991987,0.017585779442049684,22.413898456524745,0.017106197805747212,22.443918787437084,0.020016034286329618,22.273357420861227,0.020646547215905878,22.23968392730501,0.021091064997148395,22.216556236361296,0.02125003901712471,22.20840318205639,0.02153372002369679,22.194004856140396,0.019207739411873443,22.318111873816292,0.019298106677361218,22.313015754553412,0.01942047603737802,22.30615283356938,0.01948345638071505,22.30263750262804,0.019626194800321954,22.294712248711804,0.018077326738772857,22.383966992159902,0.01808215446800109,22.383677074259197,0.018157230912129663,22.379178469811322,0.018241571262481254,22.374146901171045,0.018398523920320153,22.364845057138297,0.017367270364694088,22.427473598512485,0.01703094051978933,22.44870593108275,0.016795737373725545,22.463804823589655,0.01677214697189417,22.46533086302103,0.016695394776556672,22.470310779621535,0.01738460417678736,22.42639049441147,0.016425047957597194,22.48803589584092,0.015580158114856872,22.545372859575792,0.01532165820168993,22.56353808706008,0.014739481013895765,22.605597031493097,0.01705691460268485,22.447051323742887,0.01614717031780522,22.506561446116777,0.014867285011868967,22.596223343769392,0.014397572863364575,22.631079298818428,0.013383346119205287,22.710390737036967,22.273357420861227,23.04716401951499,22.40517874328569,0.009814211135105194,0.020016034286329618,0.017730965457780107,22.23968392730501,23.233474217151393,22.416191502670973,0.008266683638960978,0.020646547215905878,0.017556547493895208,22.216556236361296,23.536296115808952,22.43153831579082,0.00625464346146053,0.021091064997148395,0.017310014547231523,22.20840318205639,23.795712887611966,22.439614659772886,0.004925335849436008,0.02125003901712471,0.017178963206971928,22.194004856140396,24.296017849451957,22.45711478352931,0.003106804065813012,0.02153372002369679,0.016900796291151942
1,HD 219134 h,5.941851497920932,22.202020201832056,2.147252057401796,1.230319799227137,188.37374648832383,145.04212023459363,0.015853567023528223,22.47791322523076,0.013056238863218985,22.688685490563756,0.009596811420891865,23.022913305454914,0.00734426900273626,23.3133592686665,0.004520169644507249,23.840343871674882,0.027256239924394837,21.88956584906994,0.02679696972130444,21.908016493928905,0.02633957902504203,21.926708633942468,0.02614393422296258,21.934803352290317,0.025733167648884264,21.951997584269,0.025677644972107606,21.954342733109307,0.02625266833228115,21.930297078108673,0.02676669412452824,21.909243867587875,0.02698181713710078,21.90055272117504,0.027420921338605467,21.88302560044719,0.02228726458905135,22.108088785411177,0.022422913322555353,22.1015006124326,0.022580627482027327,22.093890692373353,0.02265809009426288,22.09017245943825,0.022826248176068892,22.08214437081191,0.021028453447880763,22.17121237432435,0.02104197919428297,22.17051424064001,0.021124244517518063,22.166277743022018,0.021218021776044968,22.161468480781092,0.021386722863835833,22.152870103410788,0.020810171525335767,22.182541558141967,0.02037602323415568,22.205432139836624,0.02003838059564328,22.223574155138472,0.019979150117755137,22.226788182595087,0.0198022404968731,22.236444881046047,0.020969700719931324,22.17425012713706,0.01958362144926542,22.248498193635285,0.01844883714089939,22.31330821501711,0.018101982034267165,22.33391538392501,0.01733699605445628,22.38079608188408,0.02139011877767412,22.15269771730332,0.01933175272252905,22.262552629435906,0.017374434261554137,22.37845402727676,0.01666111637939807,22.42397046280486,0.015321094503662114,22.515006229255107,21.88956584906994,22.47791322523076,22.161955045813833,0.015853567023528223,0.027256239924394837,0.02120928611277744,21.908016493928905,22.688685490563756,22.187973190238317,0.013056238863218985,0.02679696972130444,0.020709001214219327,21.909243867587875,23.022913305454914,22.194925949080243,0.009596811420891865,0.02676669412452824,0.02058131255658067,21.90055272117504,23.3133592686665,22.19412833168809,0.00734426900273626,0.02698181713710078,0.020598585946900054,21.88302560044719,23.840343871674882,22.194657492228416,0.004520169644507249,0.027420921338605467,0.020594481680354465
2,HD 219134 h,6.005318016176065,44.40404040412977,2.10512826859174,1.4093458492067905,215.78434962974677,137.97288870513086,0.024041288808466958,21.982814021838742,0.0193829394042458,22.21665929087912,0.01385382113335819,22.581284445604407,0.010317147113315082,22.901309327915776,0.0062188819298444305,23.450927607299967,0.03710389334826061,21.511659678620067,0.037063392594684386,21.512845461227307,0.03686380059798701,21.518708115392005,0.03675143042967991,21.522022767893173,0.03647655000819346,21.530173997125384,0.03307979856426472,21.636301245258004,0.03363975909147049,21.618076193583384,0.03420801719196867,21.599888631528433,0.034463754204235385,21.591801925416938,0.03501297057714669,21.574635988950934,0.02806036280751376,21.81497518112156,0.028260149351925355,21.807272254211686,0.028464185407629856,21.799461486959842,0.028559285844051426,21.795840027922925,0.02875622947228241,21.788378534543643,0.027028529805173365,21.855652327892233,0.02705616947980732,21.854542609304648,0.02714175961954129,21.85111338637028,0.027240658595449368,21.84716437782461,0.027404781696918797,21.840642518794688,0.0275917795334299,21.833259107934147,0.0270683063415718,21.85405567875241,0.026591244292668008,21.873361736288235,0.02648694261694067,21.877628809370794,0.026172259850524994,21.89060532719033,0.027394250778236758,21.84105981812669,0.025644517788803188,21.912722043145315,0.0241757673959738,21.976757714743318,0.02372133684479715,21.997360484570656,0.022714917053194335,22.044430497849135,0.027794859616411666,21.82529717379127,0.024672549041583138,21.95467333377902,0.021962619291362395,22.080998052490575,0.020943051920933865,22.132608462490502,0.019211069572621482,22.226329524017757,21.511659678620067,21.982814021838742,21.82927814086271,0.024041288808466958,0.03710389334826061,0.027693319574920786,21.512845461227307,22.21665929087912,21.85429914402853,0.0193829394042458,0.037063392594684386,0.02706223791068956,21.518708115392005,22.581284445604407,21.86223756132926,0.01385382113335819,0.03686380059798701,0.026866501956104648,21.522022767893173,22.901309327915776,21.8623965935977,0.010317147113315082,0.03675143042967991,0.026863800606195018,21.530173997125384,23.450927607299967,21.86562392299251,0.0062188819298444305,0.03647655000819346,0.026788520773721895
3,HD 219134 h,6.068784534429866,66.60606060596183,2.0703614518643607,1.571012607833701,240.53707898050283,130.64052841464297,0.034750841782070004,21.54663311186669,0.027457405587528957,21.80239768729863,0.019104687265374606,22.196196602454677,0.013859990129785725,22.544639132180365,0.00820416499740193,23.11396046952058,0.049392622377598575,21.164891223297882,0.04983542817113165,21.155200949822948,0.04994063911113287,21.15291119493191,0.04992765979593433,21.15319340886081,0.04981585876077211,21.155627381197007,0.04328618076777135,21.30817326274366,0.04388865994302935,21.293165632953745,0.04451286051336442,21.277832674467664,0.04480019936630341,21.27084656801351,0.04542526285985849,21.25580281193894,0.03722433215470308,21.471979147738626,0.03753137843864206,21.463060146392607,0.037811412735830954,21.45498917449508,0.03793517972985407,21.45144106964759,0.038179713578629045,21.44446476961456,0.03672862036839209,21.48653489639254,0.03678469017595067,21.484878678452844,0.03687498643462202,21.48221676162635,0.03697914974217319,21.479154131554175,0.03713052174353849,21.474718805164805,0.03850722489742644,21.43519088111948,0.03789502030770859,21.4525910743328,0.03722235285624688,21.472036880221786,0.037053541639583736,21.47697212244342,0.036536819828642396,21.492219575697362,0.037441543655443665,21.46566207040785,0.03532196477970312,21.52893430179803,0.03342133799090945,21.588986853515678,0.0328173512459967,21.60878762128691,0.03147354730284626,21.654182199952615,0.03709345841167361,21.47580311793098,0.03276681661637061,21.6104608082656,0.029092675217378364,21.739587288080013,0.02765129787549339,21.79475763292272,0.025425975408509254,21.885852378142587,21.164891223297882,21.54663311186669,21.468820609073237,0.034750841782070004,0.049392622377598575,0.037332937905073374,21.155200949822948,21.80239768729863,21.473969412422726,0.027457405587528957,0.04983542817113165,0.03715803430729636,21.15291119493191,22.196196602454677,21.47712682092407,0.019104687265374606,0.04994063911113287,0.03704866964543445,21.15319340886081,22.544639132180365,21.478063126998798,0.013859990129785725,0.04992765979593433,0.03701634569087846,21.155627381197007,23.11396046952058,21.483469190431084,0.00820416499740193,0.04981585876077211,0.03683367078609044
4,HD 219134 h,6.132251052684999,88.80808080825955,2.043774266311805,1.7123511125498916,262.17735793329155,123.08751537388858,0.048301299814080025,21.16108315774488,0.0374431353916661,21.437549682041027,0.025397710663867583,21.85899377448844,0.017967605837259794,22.234754673450627,0.010467059091167335,22.821418512868092,0.06495151527895487,20.839506984387977,0.06586626319773217,20.8243226396764,0.06627619944855638,20.817586212216867,0.06636447015173379,20.816141124330983,0.06642193668016073,20.81520136707934,0.05728283660110681,20.97591891337941,0.057992994865808244,20.962541360015233,0.05868666165262724,20.94963168852585,0.05900285582706962,20.94379762112039,0.05968371017951875,20.931340670775185,0.05060887876361526,21.110413413640675,0.05108012706638067,21.100350280417164,0.05147831043630856,21.09191949142195,0.05164735761516292,21.088359935197794,0.05196964429968907,21.08160584188001,0.050986107872082145,21.1023505515573,0.051088612935254483,21.10016992358618,0.0511892348404124,21.098033607990097,0.05130271032160905,21.095629429038574,0.05143960069532351,21.092736231069775,0.054512314637910224,21.02974364546064,0.05379174933509216,21.044191032791552,0.05284318615279421,21.06350771452759,0.052583575650850214,21.06885491643353,0.051783208169251714,21.085507819892992,0.051970463705710145,21.081588723198866,0.049405215519279205,21.136548207394874,0.04691616502303677,21.192673939755057,0.046099893583566386,21.211730395588035,0.044286761275720885,21.255295399857882,0.050032873613885295,21.1228415850319,0.04422746665290923,21.256750043475535,0.03927395838256905,21.38571851381904,0.037249160263646525,21.443188986361093,0.03437943405187779,21.530233394936197,20.839506984387977,21.16108315774488,21.091969637378085,0.048301299814080025,0.06495151527895487,0.05147828578889614,20.8243226396764,21.437549682041027,21.10026010200167,0.0374431353916661,0.06586626319773217,0.05108437000081757,20.817586212216867,21.85899377448844,21.094976549706026,0.025397710663867583,0.06627619944855638,0.051333772638360475,20.816141124330983,22.234754673450627,21.091994682118184,0.017967605837259794,0.06636447015173379,0.051475033968385986,20.81520136707934,22.821418512868092,21.089122025481384,0.010467059091167335,0.06642193668016073,0.05161140443228761
5,HD 219134 h,6.1957175709388,111.0101010100916,2.0260439051697405,1.8306690235697105,280.2929634770241,115.36885938293564,0.06492276203888454,20.821067362533636,0.049434242299405254,21.116990127579008,0.03274086408481779,21.56433448995807,0.02261275803012493,21.966175993494353,0.012988815428062881,22.568135968648896,0.08453333132542713,20.534489871939986,0.08588055453549469,20.517322732283816,0.08657933578731279,20.508524208118438,0.08676701230266189,20.506173223868018,0.0869966600256298,20.503303383595952,0.07582992561716108,20.65245825742558,0.07671447132781772,20.63986659117998,0.0775016541522812,20.628782402511867,0.0778506843077918,20.623903746448363,0.07858399542767933,20.613724567951294,0.06881514445087374,20.757849767758575,0.06952134294094232,20.74676445044973,0.07009076699179062,20.737907801318315,0.07032627301756302,20.734265826550022,0.07076507103842247,20.727512464931163,0.07044679959320714,20.7324066627716,0.07061865070612779,20.729761294014985,0.0707382429474213,20.727924161720914,0.07086728988818636,20.725945270477286,0.07099067023049545,20.72405664134056,0.07637945951957052,20.644618380200107,0.07551878893529951,20.65692229052963,0.07419495321853653,20.67612391903946,0.07381160115482639,20.68174826651864,0.0726258249578894,20.699332135915093,0.07165195569521254,20.713989710648843,0.06851285700011359,20.76262963721204,0.06524273999675012,20.815729352877554,0.06413112013017146,20.834387768677146,0.06169792857418927,20.876383373828332,0.06717365531129907,20.784062378767103,0.059484850150088475,20.916043902675973,0.052842510199491974,21.044601232621055,0.05002277216470931,21.104140442834183,0.04631300987301899,21.18780231582462,20.534489871939986,20.821067362533636,20.72319818671022,0.06492276203888454,0.08453333132542713,0.07104937764420985,20.517322732283816,21.116990127579008,20.738262872232358,0.049434242299405254,0.08588055453549469,0.07006999682353506,20.508524208118438,21.56433448995807,20.732915981519614,0.03274086408481779,0.08657933578731279,0.07041450496960597,20.506173223868018,21.966175993494353,20.730105548513656,0.02261275803012493,0.08676701230266189,0.07059678145287468,20.503303383595952,22.568135968648896,20.72578455313586,0.012988815428062881,0.0869966600256298,0.07087787063445897
6,HD 219134 h,6.259184089192601,133.21212121192366,2.017646806701447,1.923733973894352,294.54209884035475,107.54998043243187,0.08469753901209298,20.523364313134365,0.06342878046684192,20.837325388610633,0.041091839758763266,21.308652327370577,0.027745282527575382,21.73506841318009,0.01573858268372743,22.350627242071273,0.10866152373195256,20.252851815216353,0.11040726451008889,20.235547167616218,0.11138496811000619,20.225974829942967,0.11167336809886877,20.223167255124963,0.11208563314824097,20.219166418563688,0.0993990926981328,20.349585241479453,0.10052488414994605,20.33735733888067,0.10143752976233783,20.327544630573556,0.10182862550708725,20.323366587917825,0.10262459651251743,20.314912635504957,0.0921932487625732,20.431293494104047,0.0932157394093008,20.41931816993387,0.0940175858957076,20.410018553190685,0.09434400582584661,20.40625551118579,0.09494410045078984,20.39937133175984,0.09550454581202412,20.392981183151004,0.09577298022807229,20.389933787448292,0.09592256564896615,20.3882393261671,0.09607451772771808,20.386520759355214,0.096187644726586,20.385243065491657,0.10460973574098806,20.29411102954134,0.10356939026340975,20.30496274340119,0.10175799156335329,20.324119975681498,0.101212100313384,20.329960198913998,0.09952758380195705,20.34818263962366,0.09689970763233832,20.377235125332746,0.09302186580186696,20.421578676565026,0.08874532701173367,20.47267755693835,0.08725293674175996,20.491091158877033,0.08403147971242961,20.531936264278023,0.08883802458037413,20.471544059742754,0.07875939613357659,20.602285347952783,0.06996447312442844,20.73084737212097,0.06612096659195489,20.792193307818422,0.06136282908495497,20.87327785654071,20.252851815216353,20.523364313134365,20.385108154241877,0.08469753901209298,0.10866152373195256,0.09620212672218123,20.235547167616218,20.837325388610633,20.40462597869108,0.06342878046684192,0.11040726451008889,0.09449435981868654,20.225974829942967,21.308652327370577,20.399128939678892,0.041091839758763266,0.11138496811000619,0.09497007577233688,20.223167255124963,21.73506841318009,20.396388135270502,0.027745282527575382,0.11167336809886877,0.09520926177678235,20.219166418563688,22.350627242071273,20.39230719862575,0.01573858268372743,0.11208563314824097,0.09556587258868793
7,HD 219134 h,0.039465300268147985,155.41414141422138,2.0188158783156465,1.989935822103744,304.67823594833726,99.7030302622879,0.10748721088435882,20.265907144923183,0.07928595950691304,20.596308413623735,0.05034172968059361,21.089478796194374,0.03328503588028918,21.538676555829834,0.0186720713205884,22.166317885558897,0.13748112103458404,19.998691467542493,0.1396131701901659,19.981983157664686,0.14087593340439566,19.972207112998767,0.14127240954761267,19.969155748019304,0.14188901483096136,19.964427196170675,0.12807382803837145,20.07564815324116,0.1295064192387941,20.063570890427286,0.1305803855109289,20.05460426335936,0.13102568995055064,20.05090799125755,0.13190245799812095,20.043666907727197,0.12075835197210244,20.139506185852262,0.12218264666361836,20.126775308484383,0.12328144563190208,20.117054833451537,0.1237246039408841,20.113158948815595,0.12453333460823521,20.10608508623023,0.12619831219648908,20.091665262944712,0.1265927905665288,20.088276695931704,0.1267847845906557,20.08663128668143,0.12696776903568222,20.08506540788754,0.12707398590746022,20.08415749800484,0.13929049100149116,19.98449545623034,0.13802664162845596,19.994391826562985,0.13561147370949866,20.01355804060788,0.13486293440487476,20.019567616924377,0.13256206955404715,20.038250940308032,0.12775536537379364,20.078351258534056,0.12295513656958214,20.119932438128497,0.11744395745290571,20.169722436860962,0.11547774131739247,20.188053427629093,0.11130085947238866,20.228052834447485,0.11502555227624525,20.192313311603197,0.10200010719649691,20.322797558987,0.09055555476914512,20.452011390618587,0.08544112445433456,20.515131741223286,0.07945360930914269,20.594015053133518,19.98449545623034,20.265907144923183,20.085008260739386,0.10748721088435882,0.13929049100149116,0.12697683878514138,19.981983157664686,20.596308413623735,20.1041045670301,0.07928595950691304,0.1396131701901659,0.12477396356805548,19.972207112998767,21.089478796194374,20.101843060066486,0.05034172968059361,0.14087593340439566,0.1250331151112789,19.969155748019304,21.538676555829834,20.099112178351568,0.03328503588028918,0.14127240954761267,0.12534618648828316,19.964427196170675,22.166317885558897,20.095121292117533,0.0186720713205884,0.14188901483096136,0.12580366025784773
8,HD 219134 h,0.10293181852194877,177.61616161605343,2.02951840771852,2.028400136244097,310.56749089266924,91.90210593103464,0.13290138754773057,20.046956755708415,0.09670982290948438,20.392104073601747,0.060311972801003685,20.904771707553852,0.03912193106197512,21.374729835031413,0.02173437848938319,22.012912479346255,0.1706868330723876,19.775280492276078,0.1732151051522869,19.759316139165215,0.17478457974751824,19.749522757056376,0.17530194189996276,19.746313726179345,0.1761539963496508,19.74104929285377,0.16149102179871913,19.835409587562268,0.1632903355289265,19.823379340113533,0.16456083975954272,19.814964306398597,0.16507323278258726,19.811588902272632,0.16605188343240718,19.80517102888175,0.15410975682927208,19.886205205756504,0.15601802048753632,19.872843635190815,0.15747584875700288,19.86274564925013,0.15806058675564288,19.8587215691711,0.15912343512686083,19.851445179464637,0.162114706381865,19.83122450854956,0.16266441846743543,19.827549131422295,0.16291148809144593,19.82590126693371,0.163133748278368,19.824421006268757,0.1632347138805592,19.823749237847835,0.17998410797125936,19.717695143768175,0.1784545707598386,19.726961353613547,0.1753267276002155,19.746160226283244,0.17433705746607334,19.75230626491002,0.1713088169006831,19.771331254291514,0.16380562925980482,19.81995848762526,0.157902712543198,19.859806567098985,0.15096598925252044,19.908582750671215,0.14841869307948113,19.927059036098093,0.1431410428592234,19.966370101284202,0.14536711745142902,19.94961509691051,0.12884555768035524,20.0806069196809,0.11425428505203558,20.21109930104531,0.10759012481939427,20.276349515288466,0.1002085654312179,20.353518431453615,19.717695143768175,20.046956755708415,19.833317048055914,0.13290138754773057,0.17998410797125936,0.16180286409029207,19.726961353613547,20.392104073601747,19.84367784926064,0.09670982290948438,0.1784545707598386,0.1602835655053167,19.746160226283244,20.904771707553852,19.84432345809192,0.060311972801003685,0.1753267276002155,0.1601936684242244,19.746313726179345,21.374729835031413,19.84157128771993,0.03912193106197512,0.17530194189996276,0.16059716751700542,19.74104929285377,22.012912479346255,19.837597208656234,0.02173437848938319,0.1761539963496508,0.16117907450371002
9,HD 219134 h,0.16639833677708182,199.81818181835115,2.049459212251052,2.0390328628968306,312.1954631940302,84.21812874904569,0.16036350115862624,19.864248144060976,0.1153069774494913,20.22237299751961,0.07078639491669453,20.75213748102891,0.045138791193446035,21.24063715627866,0.024868632706629437,21.887882197410743,0.2075956240266458,19.583966481146064,0.21054460594400556,19.56865166906921,0.21245223681001157,19.558858697922336,0.21310638302676976,19.555520822682514,0.21423004453391745,19.549811022566086,0.19892595982882172,19.63028331217088,0.2011409342597393,19.618260810232105,0.20263760229982355,19.610211872645728,0.2032283028454068,19.607051491775024,0.20432796349094062,19.60119245157957,0.19151740267817374,19.67149135954179,0.19398104809747557,19.657613713917296,0.1958517969891085,19.647193066097877,0.1965996584431339,19.643055070285108,0.1979560975162799,19.635589758773687,0.20247532587927006,19.611081701190518,0.20320638369960967,19.60716859994015,0.20352132362008407,19.605487171622535,0.20378834475342758,19.604063613205188,0.2038918860600776,19.603512109652954,0.2258151394232532,19.49262932985361,0.22398413396864947,19.501468827877268,0.22005064611281835,19.52070534756261,0.21877536846617146,19.527015907848554,0.21494831466943337,19.546176856945646,0.2042697560114947,19.60150179235772,0.197108150137781,19.640250512500668,0.1885531151882032,19.688427687715354,0.1853774235232344,19.706869863247594,0.178837508271241,19.74586544213459,0.17920929812845898,19.743610620438595,0.15871166106006093,19.87548987537864,0.14062788609776367,20.006833346386927,0.13221962819666272,20.073772138791757,0.12320244127488249,20.15046368394372,19.49262932985361,19.864248144060976,19.6206825066807,0.16036350115862624,0.2258151394232532,0.20070064285404587,19.501468827877268,20.22237299751961,19.629255661366386,0.1153069774494913,0.22398413396864947,0.19912454219876013,19.52070534756261,20.75213748102891,19.628702469371802,0.07078639491669453,0.22005064611281835,0.19924469964446603,19.527015907848554,21.24063715627866,19.625053281030066,0.045138791193446035,0.21877536846617146,0.19991398064427035,19.546176856945646,21.887882197410743,19.619550934213322,0.024868632706629437,0.21494831466943337,0.20092399178817877
