,Name,M,t,r,s,WA,beta,pPhi_000C_575NM,dMag_000C_575NM,pPhi_000C_660NM,dMag_000C_660NM,pPhi_000C_730NM,dMag_000C_730NM,pPhi_000C_760NM,dMag_000C_760NM,pPhi_000C_825NM,dMag_000C_825NM,pPhi_001C_575NM,dMag_001C_575NM,pPhi_001C_660NM,dMag_001C_660NM,pPhi_001C_730NM,dMag_001C_730NM,pPhi_001C_760NM,dMag_001C_760NM,pPhi_001C_825NM,dMag_001C_825NM,pPhi_003C_575NM,dMag_003C_575NM,pPhi_003C_660NM,dMag_003C_660NM,pPhi_003C_730NM,dMag_003C_730NM,pPhi_003C_760NM,dMag_003C_760NM,pPhi_003C_825NM,dMag_003C_825NM,pPhi_010C_575NM,dMag_010C_575NM,pPhi_010C_660NM,dMag_010C_660NM,pPhi_010C_730NM,dMag_010C_730NM,pPhi_010C_760NM,dMag_010C_760NM,pPhi_010C_825NM,dMag_010C_825NM,pPhi_030C_575NM,dMag_030C_575NM,pPhi_030C_660NM,dMag_030C_660NM,pPhi_030C_730NM,dMag_030C_730NM,pPhi_030C_760NM,dMag_030C_760NM,pPhi_030C_825NM,dMag_030C_825NM,pPhi_100C_575NM,dMag_100C_575NM,pPhi_100C_660NM,dMag_100C_660NM,pPhi_100C_730NM,dMag_100C_730NM,pPhi_100C_760NM,dMag_100C_760NM,pPhi_100C_825NM,dMag_100C_825NM,pPhi_300C_575NM,dMag_300C_575NM,pPhi_300C_660NM,dMag_300C_660NM,pPhi_300C_730NM,dMag_300C_730NM,pPhi_300C_760NM,dMag_300C_760NM,pPhi_300C_825NM,dMag_300C_825NM,pPhi_600C_575NM,dMag_600C_575NM,pPhi_600C_660NM,dMag_600C_660NM,pPhi_600C_730NM,dMag_600C_730NM,pPhi_600C_760NM,dMag_600C_760NM,pPhi_600C_825NM,dMag_600C_825NM,dMag_min_575NM,dMag_max_575NM,dMag_med_575NM,pPhi_min_575NM,pPhi_max_575NM,pPhi_med_575NM,dMag_min_660NM,dMag_max_660NM,dMag_med_660NM,pPhi_min_660NM,pPhi_max_660NM,pPhi_med_660NM,dMag_min_730NM,dMag_max_730NM,dMag_med_730NM,pPhi_min_730NM,pPhi_max_730NM,pPhi_med_730NM,dMag_min_760NM,dMag_max_760NM,dMag_med_760NM,pPhi_min_760NM,pPhi_max_760NM,pPhi_med_760NM,dMag_min_825NM,dMag_max_825NM,dMag_med_825NM,pPhi_min_825NM,pPhi_max_825NM,pPhi_med_825NM
0,ups And d,0.13750967304451578,0.0,1.7545664384662354,0.013488478331369127,1.0061973780244622,179.55952623047887,1.626430559323496e-06,32.069485207807695,2.558339469066072e-06,31.577678594658604,2.847308274229665e-06,31.461487796758192,3.8920339344422704e-06,31.122132476675503,4.261680966195676e-06,31.02362168502256,-2.7973198627911544e-05,,-2.7169097794650193e-05,,-2.6871274016741125e-05,,-2.6744170732387626e-05,,-2.6448919920570364e-05,,0.00015887200890995205,27.094955554289264,0.00014783100720153675,27.173160182569895,0.00013250670653877782,27.29197937293577,0.00012482834710305068,27.356790972431376,0.00010667970891788835,27.5273694671343,0.0007576585265879357,25.39889023446612,0.0007683690049026144,25.38364942814288,0.0007699062962966833,25.38147934392173,0.0007724568922815628,25.377888390831842,0.0007765994739433622,25.37208129212111,0.0008923294209429695,25.221260991383016,0.0009740645473525177,25.12610468021925,0.0009908383412450578,25.107567013197656,0.0009964841105806264,25.101398077043022,0.0010008647307106924,25.096635558446074,0.0006862770255732114,25.50632537143168,0.0008658167675313724,25.25400904176618,0.0009374494823514664,25.167704338191573,0.0009646177962076075,25.136685847318002,0.0009946254589626765,25.103425093507266,0.0004577909101880782,25.945906109302882,0.000719673983099237,25.454734515156254,0.0008375060521217984,25.29010413696202,0.0008808730560934214,25.235290706916956,0.0009266035302624999,25.180339145968226,0.0002955978032131688,26.420821016687043,0.0005466827003887552,25.753235694711634,0.0006871607403637194,25.504928174851038,0.0007439467381786491,25.418719412296117,0.000809240433143932,25.327380087517323,25.221260991383016,32.069485207807695,25.945906109302882,-2.7973198627911544e-05,0.0008923294209429695,0.0003766943567006235,25.12610468021925,31.577678594658604,25.454734515156254,-2.7169097794650193e-05,0.0009740645473525177,0.000633178341743996,25.107567013197656,31.461487796758192,25.38147934392173,-2.6871274016741125e-05,0.0009908383412450578,0.0007285335183302013,25.101398077043022,31.122132476675503,25.377888390831842,-2.6744170732387626e-05,0.0009964841105806264,0.0007582018152301059,25.096635558446074,31.02362168502256,25.327380087517323,-2.6448919920570364e-05,0.0010008647307106924,0.000792919953543647
1,ups And d,0.20097619129993127,12.914646464865655,1.7714983956467842,0.23073005856492176,17.21172501864332,172.51620906955444,0.0005722544115778161,25.724455876119883,0.0005198015699279943,25.828834782482495,0.0004319917025180092,26.029740236633103,0.00037344371815358076,26.18786585360235,0.00026495118256310545,26.560514093959384,0.0012464056603356643,24.879280218073525,0.0011637863069681716,24.95374564206999,0.0011106147268865607,25.004520179657924,0.0010917270946808558,25.02314352749208,0.0010556208573299895,25.059658843147442,0.004969603283657934,23.377624447069103,0.004887335007213026,23.39574847660558,0.004743153652793048,23.428260765347503,0.004666439258101477,23.445964706848766,0.004478567643521422,23.49058090431467,0.00992502845384562,22.626599348323502,0.010011192453791213,22.617214223908366,0.010027594520592726,22.615436838704458,0.010047556236838711,22.61327763547433,0.010078224101457567,22.609968721618404,0.010726432947234667,22.542290443949035,0.011329497597476427,22.482902120447218,0.011453410107842902,22.47109172055786,0.011497567925513484,22.46691378962543,0.01152208515338326,22.46460104825505,0.008722862926560765,22.766781129819314,0.010192103291887649,22.59776920865977,0.010734762520692647,22.541447646543723,0.010942570727836234,22.520630343644935,0.01113159586234245,22.50203517286593,0.006724006167041878,23.04935849186776,0.008866079585762786,22.749099686099548,0.009722634512279869,22.64896884881719,0.010042587781052948,22.613814658248636,0.010310676848605451,22.58521081044286,0.005094914081956497,23.350586587882525,0.007316465280254074,22.957675459525362,0.008394722359806287,22.80841290656293,0.008826997810160582,22.753896202474785,0.009243119807395218,22.703882293819643,22.542290443949035,25.724455876119883,23.19997253987514,0.0005722544115778161,0.010726432947234667,0.005909460124499187,22.482902120447218,25.828834782482495,22.853387572812455,0.0005198015699279943,0.011329497597476427,0.00809127243300843,22.47109172055786,26.029740236633103,22.72869087769006,0.0004319917025180092,0.011453410107842902,0.009058678436043077,22.46691378962543,26.18786585360235,22.68385543036171,0.00037344371815358076,0.011497567925513484,0.009434792795606765,22.46460104825505,26.560514093959384,22.656925507719023,0.00026495118256310545,0.01152208515338326,0.009660671954426391
2,ups And d,0.2644427095530606,25.829292929265648,1.7942346121142194,0.44533055926772974,33.22023656643784,165.62892662400887,0.0022216907040436278,24.279412089582557,0.001937774793318199,24.427862828543905,0.001540960667996771,24.676642199793797,0.0012643167419365622,24.89148136210985,0.0008417747444639431,25.333131355269987,0.005197361083403605,23.35666385872421,0.004948354491368609,23.409969073842703,0.00478973044081598,23.445343402670208,0.004732630853093395,23.458364507585365,0.0046220985137354785,23.484023090151034,0.011697710294519654,22.475868930684463,0.011701769660107556,22.475492221437943,0.01160533054300127,22.484477297887384,0.011542767100061684,22.490346251919075,0.011374319320995816,22.506307543224583,0.014632410451420228,22.232831396832225,0.0146902488969012,22.228548198982985,0.014715686458273562,22.226669769482395,0.014728376958746592,22.225733856766947,0.01474438035465603,22.2245547700693,0.014446548860131588,22.246710807345234,0.0146945718974302,22.228228738928813,0.014755462913094444,22.223738987056837,0.01478520099010086,22.22155300248463,0.014784314507210078,22.221618102406183,0.012559471911858584,22.39869263673379,0.013445364542504562,22.324689630015328,0.013681246178208947,22.305806940259213,0.013779539111194263,22.298034354685928,0.013773527521852501,22.29850813137199,0.011017653461805518,22.540898313268677,0.012286699563866414,22.422532986811703,0.012566483965219862,22.398086630702508,0.012685883011002937,22.387819329185035,0.01261819690408741,22.393627833770854,0.009403623197366932,22.71288303762657,0.011015848435466494,22.541076204414658,0.011472961191036647,22.49693227293688,0.011654474340211033,22.479889359206577,0.011640749333092271,22.48116874068603,22.232831396832225,24.279412089582557,22.50838362197657,0.0022216907040436278,0.014632410451420228,0.011357681878162586,22.228228738928813,24.427862828543905,22.449012604124825,0.001937774793318199,0.0146945718974302,0.011994234611986985,22.223738987056837,24.676642199793797,22.441281964294944,0.001540960667996771,0.014755462913094444,0.012085907254110566,22.22155300248463,24.89148136210985,22.433854344195808,0.0012643167419365622,0.01478520099010086,0.012170178675606984,22.221618102406183,25.333131355269987,22.43739828722844,0.0008417747444639431,0.014784314507210078,0.012129473118589841
3,ups And d,0.3279092278084761,38.7439393941313,1.8223071750347453,0.6550147267234268,48.86200536525687,158.93403531176386,0.00498765867124067,23.435091045961876,0.004234174938080897,23.61291086539253,0.0032532209390942067,23.899048961178742,0.0025848878887983753,24.14872857924614,0.0016634293094370171,24.62732198493846,0.011014009059275656,22.574969285118513,0.0106423580450612,22.6122381935862,0.010402104833576847,22.637029792701853,0.010314667559217035,22.64619477036582,0.010143952255867889,22.664314867359785,0.017288065834647,22.085466839239444,0.017475224036264763,22.07377597801151,0.017537520956187408,22.06991235104965,0.01754318266084745,22.06956189526344,0.01752101334659515,22.070934807411234,0.016638738651350096,22.127031857953398,0.01666444909749785,22.12535545580359,0.016706861418930484,22.12259568299348,0.016713308296894054,22.122176797694028,0.016718144454003513,22.1218626748863,0.015408886752038798,22.210404700228498,0.015228630779450728,22.22318071536233,0.015215810996522465,22.22409509595025,0.015226961093151541,22.223299763376566,0.015204681680315038,22.224889527664956,0.014270765758404517,22.293714664398742,0.014245281390019382,22.29565527760038,0.014078805689654179,22.308418321011256,0.01403563339077273,22.311752818608568,0.013821709669916605,22.328428442990507,0.01356232859109678,22.348997202646967,0.013435641611592873,22.359186831635395,0.012992331656029575,22.39561511277529,0.012861382626180784,22.40661371181269,0.012450611178180186,22.44185618179378,0.012519194146495443,22.435891922320216,0.012746467418398185,22.416358258025554,0.0122894173743198,22.456004623464256,0.012119285742430059,22.4711402955958,0.01162085718403272,22.516737448766776,22.085466839239444,23.435091045961876,22.321355933522852,0.00498765867124067,0.017288065834647,0.01391654717475065,22.07377597801151,23.61291086539253,22.327421054617886,0.004234174938080897,0.017475224036264763,0.013840461500806128,22.06991235104965,23.899048961178742,22.352016716893274,0.0032532209390942067,0.017537520956187408,0.013535568672841877,22.06956189526344,24.14872857924614,22.35918326521063,0.0025848878887983753,0.01754318266084745,0.013448508008476757,22.070934807411234,24.62732198493846,22.385142312392144,0.0016634293094370171,0.01752101334659515,0.013136160424048395
4,ups And d,0.39137574606160364,51.658585858531296,1.8551782162298247,0.8577902064314162,63.988408136377025,152.45945570100713,0.008862481467584048,22.84976476330077,0.007360622264149174,23.05136678594692,0.005488122067288396,23.37009370733364,0.004250280326639104,23.647609176322515,0.002669527685351838,24.152567040304728,0.017988229735347097,22.081182049660022,0.017613473988757154,22.104040557463293,0.017362048113914737,22.119650724866165,0.01726886093089281,22.125493883213263,0.017084435139925913,22.13715155248827,0.020584633743625406,21.934795253069538,0.020981953983493448,21.914038287832174,0.021239334187309417,21.900800867593965,0.021333013201289976,21.896022608113014,0.021507414601768922,21.887182595516762,0.017765493734922057,22.094709908849666,0.01781004020224509,22.09199086391671,0.017883387919278897,22.08752862040543,0.017898148994078506,22.086632815718282,0.017918368110769627,22.08540697741092,0.01630487739167173,22.18785926994903,0.01604885175577169,22.205043199724482,0.016032542195627303,22.206147134390463,0.016046010797656475,22.205235413109712,0.01602830117010336,22.20643437792495,0.015751604698173154,22.22534110282615,0.015362386071910037,22.252506425486484,0.015064567434459802,22.27376144885819,0.014985065278260372,22.279506515466426,0.014721079026995931,22.29880400307603,0.015161951281268625,22.266765371336156,0.014387762335528695,22.323669975123785,0.013694365075259595,22.377298359756,0.013487071926544702,22.393858929381175,0.01299687294513238,22.434055929935546,0.014552704704830237,22.311293820939,0.013740637157414052,22.373635934502577,0.012779016707440312,22.45240951853511,0.012436670373218557,22.481892803998672,0.011769163483317581,22.541789124395404,21.934795253069538,22.84976476330077,22.20660018638759,0.008862481467584048,0.020584633743625406,0.01602824104492244,21.914038287832174,23.05136678594692,22.228774812605483,0.007360622264149174,0.020981953983493448,0.015705618913840865,21.900800867593965,23.37009370733364,22.239954291624326,0.005488122067288396,0.021239334187309417,0.015548554815043553,21.896022608113014,23.647609176322515,22.24237096428807,0.004250280326639104,0.021333013201289976,0.015515538037958423,21.887182595516762,24.152567040304728,22.25261919050049,0.002669527685351838,0.021507414601768922,0.015374690098549646
5,ups And d,0.4548422643170209,64.57323232339695,1.8922693411993778,1.0519849996032506,78.47471911343187,146.22463314134262,0.013789944783319501,22.41273337944761,0.011243157650953474,22.63441894656942,0.008167820774058284,22.981374198749023,0.006192756792947014,23.28192963653767,0.0038215266013105187,23.806047479928047,0.025604448799609374,21.740851120005832,0.025333183446504343,21.75241527743816,0.02513707112532987,21.760853012525843,0.025061482297513482,21.764122811492882,0.024907299663246663,21.770823082857063,0.02390079111872837,21.81560900652205,0.024446657252626413,21.791090988309357,0.024841175218536553,21.77370935207804,0.02499745307022452,21.766900293180473,0.025312663798642245,21.753295070235545,0.020068700885951116,22.005341547309087,0.02015810218379159,22.000515591567105,0.020268904071612904,21.994564029305153,0.020298545160321424,21.992977416910456,0.020345473540833464,21.99047019119691,0.01877050434522169,22.077949842848412,0.01854450888824751,22.091101356335674,0.018535448938880598,22.09163192410398,0.018554959603609422,22.090489664535472,0.01854010359317685,22.09135930636148,0.018700113272926294,22.082029104437577,0.01818204684668114,22.1125327664579,0.017827721759868957,22.133900079063665,0.01773807922832962,22.139373221541888,0.017447366296728807,22.157315000196178,0.017758288238410237,22.13813694539064,0.016650701850597915,22.208058336586284,0.01581752632499334,22.26379328265876,0.01556782127350565,22.28107010489183,0.015031343887455313,22.319145170685275,0.017141553271054624,22.17651426574292,0.01554871963907053,22.282403115443334,0.014188405151156602,22.381805744235837,0.013694478475138121,22.42027595314514,0.012907435677587559,22.484539773774948,21.740851120005832,22.41273337944761,22.079989473642996,0.013789944783319501,0.025604448799609374,0.01873530880907399,21.75241527743816,22.63441894656942,22.101817061396787,0.011243157650953474,0.025333183446504343,0.018363277867464327,21.760853012525843,22.981374198749023,22.11276600158382,0.008167820774058284,0.02513707112532987,0.01818158534937478,21.764122811492882,23.28192963653767,22.114931443038678,0.006192756792947014,0.025061482297513482,0.018146519415969523,21.753295070235545,23.806047479928047,22.12433715327883,0.0038215266013105187,0.025312663798642245,0.01799373494495283
6,ups And d,0.5183087825701485,77.48787878779694,1.9329882261823326,1.2362579477043152,92.2208921557158,140.24113668948286,0.019682500716082366,22.072670286804765,0.015791536781908568,22.31180998604976,0.011216412126359146,22.68323608092875,0.008352869948642599,23.00328167748972,0.005085762895441653,23.541980704176826,0.033784299490756814,21.486083680681396,0.03368436798020118,21.48929996884644,0.03358798720294843,21.492411028972676,0.03354582107951977,21.493774910868023,0.03345171129412527,21.496825126743385,0.028519528657913063,21.670015117449005,0.0291560029732611,21.646051011978585,0.029625935087640824,21.62869080925693,0.029815791153813158,21.621755132292773,0.03020445784222737,21.607693364776885,0.02428705983273742,21.84443361976581,0.024438173227905882,21.837699129240974,0.024593856024091705,21.830804410875004,0.024642282301891645,21.82866865523652,0.0247222206792532,21.825152279659967,0.02330408899054508,21.889290651469338,0.023100187116634203,21.898832232120995,0.023087126871782857,21.89944625271806,0.02311044508583504,21.89835020241481,0.023088850213019096,21.899365210839044,0.02372134633266612,21.870022640887377,0.023117594877556023,21.898014354829836,0.022686106320087503,21.918471068831735,0.022576898547745933,21.923710273020596,0.022227268947233477,21.940655715480975,0.02208416411931863,21.947668561700038,0.020671432831984415,22.019444525049487,0.019633260334065327,22.075389913337098,0.019310130004671706,22.093407982442493,0.018669512741521083,22.13003851814421,0.02098638765609749,22.003026749600604,0.018676794149682346,22.129615146238365,0.01682830872951359,22.24276979929951,0.01611823540339753,22.289577240938492,0.015138126142744181,22.35769067709416,21.486083680681396,22.072670286804765,21.879656646178358,0.019682500716082366,0.033784299490756814,0.0235127176616056,21.48929996884644,22.31180998604976,21.898423293475417,0.015791536781908568,0.03368436798020118,0.023108890997095115,21.492411028972676,22.68323608092875,21.9089586607749,0.011216412126359146,0.03358798720294843,0.02288661659593518,21.493774910868023,23.00328167748972,21.911030237717704,0.008352869948642599,0.03354582107951977,0.022843671816790485,21.496825126743385,23.541980704176826,21.92001046316001,0.005085762895441653,0.03345171129412527,0.02265805958012629
7,ups And d,0.5817753008255657,90.4025252526626,1.9767505815958544,1.4095874863639273,105.15072182581683,134.51367606308943,0.026432246705603877,21.801149111188952,0.020907285608883813,22.0557401789107,0.014561256972023323,22.44848714352324,0.010677825264362588,22.785277284979113,0.006431858471867564,23.33564311024722,0.04270284470128524,21.28034229147225,0.042801571596886016,21.2778350195157,0.0428242708707903,21.277259365639097,0.0428227318953864,21.277298384431596,0.042802445888779087,21.2778128418098,0.03468126769323684,21.506246899762765,0.03540346961545828,21.48386974432501,0.03593339004380412,21.467738830215453,0.03614777887203912,21.46128026683206,0.03658559369417311,21.448209041671426,0.030299965436914218,21.65287897630503,0.030536164758961218,21.64444808356859,0.03075024774870584,21.63686276118809,0.030823542657093476,21.634277928494733,0.0309468315923746,21.629943830148726,0.029776376889141063,21.671804677000594,0.029611886147585864,21.67781913174363,0.02959544083934617,21.67842227557471,0.029624371162939606,21.677361458217224,0.02959400324065647,21.678475016497348,0.030734360743388693,21.637423847862138,0.03008119510949934,21.660746592701216,0.02956746509151654,21.679449077218734,0.02943842700442505,21.684197807940766,0.029015611640926742,21.69990498455904,0.028004981871081264,21.738396069400334,0.026283497956340447,21.807276401324195,0.025000831070679373,21.861598195044042,0.024585962979679722,21.87976625069782,0.02381740606792453,21.914248156304282,0.02604083484674961,21.81734705099876,0.022950054340017473,21.95452501362586,0.020494859196505427,22.07737196161799,0.019504788848174425,22.131131176171568,0.01827888721554839,22.201609926147448,21.28034229147225,21.81734705099876,21.662341826652813,0.02604083484674961,0.04270284470128524,0.030038171163027642,21.2778350195157,22.0557401789107,21.669282862222424,0.020907285608883813,0.042801571596886016,0.029846540628542605,21.277259365639097,22.44848714352324,21.678935676396723,0.014561256972023323,0.0428242708707903,0.029581452965431354,21.277298384431596,22.785277284979113,21.680779633078995,0.010677825264362588,0.0428227318953864,0.02953139908368233,21.2778128418098,23.33564311024722,21.689190000528193,0.006431858471867564,0.042802445888779087,0.029304807440791607
8,ups And d,0.6452418190786933,103.31717171706259,2.0229967571752403,1.5712451697956271,117.20986839597906,129.04132226132384,0.03391143199345477,21.580835542569808,0.0264852370212201,21.84919120618538,0.01813122120115899,22.260633225027178,0.013119608738742683,22.61189865728823,0.007833823329295686,23.171766433398155,0.052537815201106355,21.105520844421722,0.05284056502109804,21.099282233726775,0.05298765644166145,21.09626408636783,0.05302884832202844,21.095420377773458,0.05308623938008253,21.094245963145276,0.04249359781683828,21.335892107925464,0.04331338968660373,21.31514543397749,0.04390332920506243,21.30045723036986,0.04414017268108718,21.294615796270545,0.044618412094596924,21.282915590099265,0.03805541117573182,21.455659819093256,0.03840097569984432,21.445845217982523,0.03868889941889482,21.43773492699818,0.038793555168669086,21.434801911871794,0.03897143268424416,21.429834936351682,0.03811284831077108,21.454022349909884,0.03800006478034882,21.45724002341444,0.03798201854877498,21.457755762033045,0.038018719832066394,21.45670714287547,0.03797897684886838,21.45784271412463,0.039693341301732354,21.409906719761306,0.039006272233860245,21.428864747169214,0.038400167197980534,21.445868077531532,0.038249510358162306,21.450136165835225,0.03773775625891795,21.464760678045064,0.035468742763139216,21.53208637936431,0.03339784850802895,21.597404639787538,0.03182006659710567,21.649948155212964,0.03129221609423267,21.668110064144706,0.0303678029637368,21.70066743358102,0.03227524009966113,21.634527161551937,0.028275952685903466,21.778157750144963,0.025070240476088076,21.908804616430793,0.023727044772042384,21.968591741462063,0.02219749093176441,22.04094114775891,21.105520844421722,21.634527161551937,21.45484108450157,0.03227524009966113,0.052537815201106355,0.038084129743251455,21.099282233726775,21.84919120618538,21.451542620698483,0.0264852370212201,0.05284056502109804,0.03820052024009657,21.09626408636783,22.260633225027178,21.451811919782287,0.01813122120115899,0.05298765644166145,0.038191092873377755,21.095420377773458,22.61189865728823,21.453421654355346,0.013119608738742683,0.05302884832202844,0.03813411509511435,21.094245963145276,23.171766433398155,21.461301696084846,0.007833823329295686,0.05308623938008253,0.037858366553893165
9,ups And d,0.7087083373341105,116.23181818192825,2.0712031080031372,1.7207602855092152,128.36321821870237,123.81875898814087,0.041992994547008215,21.39989626454131,0.03242661824681121,21.68058423164451,0.021863794728569017,22.108524525266162,0.015637687941797852,22.47240702266283,0.009270320171019376,23.040101544121523,0.06340304255907393,20.952563130616557,0.06390381803112168,20.944021362132297,0.06417296284777797,20.939458150909893,0.06425610249235536,20.938052429634272,0.06438924924208696,20.935804974962977,0.05195225054353484,21.1688274641727,0.05288712586550569,21.149463463280036,0.053543088617797455,21.13607982911544,0.05380320783302759,21.130817954013263,0.054320027268189186,21.120438430221004,0.047469910377897266,21.266792348979777,0.04794843599470646,21.25590226415731,0.04832604312526564,21.247385285640846,0.048468456646215866,21.244190401062074,0.048712102210093755,21.238746197669663,0.048211093009130346,21.249970934372765,0.04815453331666092,21.251245432660937,0.04813602846882408,21.25166274009242,0.04818235737529424,21.250618267128722,0.048132840549379344,21.251734647856487,0.05051108961998316,21.199371535510316,0.04978959785201324,21.214991832143216,0.049075262816123434,21.230681793219244,0.048898597238165795,21.234597376863892,0.048279479368078845,21.24843193307088,0.04439759979421484,21.33943964820817,0.04191193682627703,21.401994051358155,0.039977000193204604,21.453312872737726,0.039310766375451014,21.47155960191558,0.038196390620928125,21.50278256326544,0.03962428466440239,21.462934790942597,0.03455895970486633,21.611436726296482,0.030445536708782358,21.749029292399694,0.02867052086280766,21.814249421110944,0.026774928994931887,21.88851755895854,20.952563130616557,21.462934790942597,21.258381641676273,0.03962428466440239,0.06340304255907393,0.04784050169351381,20.944021362132297,21.68058423164451,21.253573848409125,0.03242661824681121,0.06390381803112168,0.04805148465568369,20.939458150909893,22.108524525266162,21.249524012866633,0.021863794728569017,0.06417296284777797,0.04823103579704486,20.938052429634272,22.47240702266283,21.2474043340954,0.015637687941797852,0.06425610249235536,0.04832540701075505,20.935804974962977,23.040101544121523,21.250083290463685,0.009270320171019376,0.06438924924208696,0.048206159958729095
